"filename", "language", "Python", "HTML", "JSON", "CSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\iyzilink_update_product.py", "Python", 21, 0, 0, 0, 0, 0, 1, 4, 26
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\refund.py", "Python", 18, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_bin.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_bkm_result.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_bounced_bank_transfers.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_cards.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_checkout_form_result.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_installments.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_payment_detail.py", "Python", 11, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_payment_result.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_payout_completed_transactions.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_sub_merchant.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\retrieve_transactions.py", "Python", 12, 0, 0, 0, 0, 0, 1, 3, 16
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\update_limited_company_sub_merchant.py", "Python", 22, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\update_personal_sub_merchant.py", "Python", 22, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\samples\update_private_sub_merchant.py", "Python", 22, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\iyzipay-python-1.0.37\setup.py", "Python", 49, 0, 0, 0, 0, 0, 1, 8, 58
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\manage.py", "Python", 15, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\admin.py", "Python", 9, 0, 0, 0, 0, 0, 1, 1, 11
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\migrations\0001_initial.py", "Python", 16, 0, 0, 0, 0, 0, 1, 7, 24
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\migrations\0002_kategori.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\migrations\0003_product_kategori_alter_product_resim.py", "Python", 18, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\migrations\0004_alter_product_kategori_basket.py", "Python", 26, 0, 0, 0, 0, 0, 1, 6, 33
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\migrations\0005_payment.py", "Python", 20, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\models.py", "Python", 28, 0, 0, 0, 0, 0, 1, 7, 36
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\urls.py", "Python", 10, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\win10\OneDrive\Desktop\proje17Ekinsu\boutique\product\views.py", "Python", 212, 0, 0, 0, 0, 0, 6, 27, 245
